CompanyPrice,area,price,name,location,type
12500,88,1100000,融创滨江壹号,沙坪坝,住宅
12000,67,804000,华宇锦绣花城,九龙坡,住宅
15000,111,1665000,国博城,渝北,住宅
10800,68,734400,融创江南融府,南岸,住宅
10500,85,892500,金科金辉博翠山,北碚,住宅
40000,320,12800000,融创玖玺台,南岸,住宅
13000,27,351000,绿地保税中心,江北,商业类
9500,117,1111500,巴南府邸,巴南,住宅
9000,65,585000,融创春晖十里,大渡口,住宅
13000,135,1755000,绿地海外滩,江北,住宅
28000,86,2408000,协信公馆,渝中,住宅
8700,23,200100,万科金色悦城,沙坪坝,商业类
35000,211,7385000,融创白象街,渝中,住宅
13000,31,403000,鲁能星城十三街区,江北,商业类
13000,29,377000,奥园盘龙壹号,九龙坡,商业类
15000,109,1635000,恒大照母山,渝北,住宅
12000,66,792000,渝高幸福九里,大渡口,住宅
27000,130,3510000,南滨特区,南岸,住宅
12000,88,1056000,鲁能领秀城,南岸,住宅
16500,55,907500,中亿阳明山水,江北,住宅
17000,121,2057000,北大资源博雅,渝北,住宅
11800,55,649000,尚格锦园,渝北,住宅
12000,32,384000,兴亚沙滨国际,沙坪坝,住宅
9500,104,988000,融汇半岛江上公馆,巴南,住宅
11500,61,701500,桥达蓝湾半岛,渝北,住宅
10500,938,9849000,西正街,渝北,商业类
12500,91,1137500,光宇尚滨国际,南岸,商业类
12000,64,768000,联发欣悦,九龙坡,住宅
11000,81,891000,金科空港城,渝北,住宅
8500,83,705500,绿地城,大渡口,住宅
11500,192,2208000,复地山与城,南岸,别墅
20000,104,2080000,御龙天峰,江北,住宅
16000,124,1984000,金科天元道,渝北,住宅
19500,77,1501500,和泓江山国际,渝中,住宅
6800,88,598400,中昂锦绣,巴南,住宅
10700,99,1059300,东方剑桥柔波里,沙坪坝,住宅
6500,76,494000,巨龙江山国际,江北,住宅
40000,63,2520000,日月光解放碑1号R3,渝中,住宅
5100,61,311100,爱情谷,北碚,住宅
22000,91,2002000,力帆红星国际广场,渝北,住宅
9800,99,970200,力帆翡翠郡,北碚,住宅
12000,106,1272000,中交漫山,南岸,住宅
14000,70,980000,汇祥林里3000,渝北,住宅
9500,25,237500,富邦金玖,九龙坡,商业类
13000,40,520000,保利时代广场,九龙坡,商业类
22000,208,4576000,和记黄埔珊瑚水岸二期,南岸,住宅
14500,279,4045500,光华安纳溪湖,南岸,别墅
12000,98,1176000,桃源居国际花园,渝北,住宅
50000,382,19100000,阳光100喜马拉雅,南岸,住宅
10000,45,450000,祥和御馨园二期,大渡口,住宅
9300,67,623100,书香溪墅,沙坪坝,住宅
6800,39,265200,佳兆业广场,巴南,商业类
50000,228,11400000,东原1891印长江,南岸,住宅
9000,42,378000,上丁跃世界,巴南,住宅
18000,100,1800000,俊峰香格里拉,沙坪坝,住宅
9500,53,503500,招商依云江湾,巴南,住宅
4700,88,413600,北京城建熙城,九龙坡,住宅
4680,66,308880,尚江宸溪香苑,九龙坡,住宅
7500,89,667500,恒大香山华府,九龙坡,住宅
3000,535,1605000,棕榈泉山顶别墅,渝北,别墅
14000,38,532000,高盛创富中心,渝中,商业类
40000,409,16360000,28阙,南岸,别墅
21000,259,5439000,奇峰云邸,沙坪坝,别墅
4800,48,230400,西海岸,九龙坡,住宅
15500,19,294500,汇祥荟广场,九龙坡,商业类
13000,212,2756000,中国铁建山语城,北碚,别墅
12000,76,912000,北大资源燕南,九龙坡,住宅
21000,119,2499000,华润二十四城,九龙坡,住宅
10500,95,997500,恒大未来城,沙坪坝,住宅
12600,108,1360800,金科城,北碚,住宅
6500,38,247000,旭辉紫都,北碚,商业类
13800,63,869400,国兴北岸江山,江北,住宅
4900,73,357700,嘉和香水湾,永川,住宅
7700,70,539000,珠江城,巴南,住宅
10500,79,829500,中国摩,渝北,住宅
20000,111,2220000,阅江阁,南岸,住宅
21000,53,1113000,融景城,江北,住宅
10200,130,1326000,恒大雅苑,九龙坡,住宅
13000,30,390000,南滨国际,南岸,住宅
8000,58,464000,宗申金蓝湾,巴南,住宅
9700,110,1067000,保亿丽景紫园,北碚,住宅
5800,67,388600,绿地海域,涪陵,住宅
8600,31,266600,雅居乐御宾府,大渡口,商业类
25000,48,1200000,中铁万国城,南岸,商铺
8500,27,229500,中航九悦荟,九龙坡,商业类
12000,33,396000,天盈摩咖,南岸,商业类
14000,91,1274000,鲁能泰山7号,渝北,住宅
10000,47,470000,宝嘉花与山,沙坪坝,商业类
9100,29,263900,君和凤鸣广场,沙坪坝,商业类
14500,68,986000,弘悦101,九龙坡,住宅
10000,26,260000,信达滨江蓝庭,沙坪坝,商业类
11000,25,275000,鲁能九龙花园,九龙坡,商业类
12500,31,387500,江厦星光汇,九龙坡,商业类
8800,25,220000,西城上街,大渡口,商业类
4000,68,272000,凰城御府,永川,住宅
4900,67,328300,汇悦悦峰,永川,住宅
18000,112,2016000,远洋九公子,渝北,住宅
4800,30,144000,金科中华养生城,綦江,住宅
43000,52,2236000,龙脊时代广场,渝北,底商
23000,54,1242000,鎏嘉码头雲曜公寓,江北,商业类
40000,21,840000,康桥融府,渝北,底商
21000,38,798000,滨江壹号,渝中,住宅
7300,29,211700,西部人才产业园,巴南,商业类
6500,90,585000,协信世外桃源,永川,住宅
12000,40,480000,金科廊桥水乡二组团,沙坪坝,底商
19000,95,1805000,保利天汇,江北,住宅
15000,1538,23070000,康田西宸中心,沙坪坝,写字楼
12200,61,744200,财信时光里,九龙坡,住宅
10000,56,560000,中铁任之健康城,璧山,住宅
10800,40,432000,锦怡国际,九龙坡,商业类
5400,30,162000,金阳金佛山第一农场,南川,住宅
14000,39,546000,力帆时代,渝北,商业类
10000,68,680000,北京城建云熙台,九龙坡,住宅
16000,25,400000,中国核建紫金一品,南岸,商业类
16000,94,1504000,保利山庄江天悦,江北,住宅
28800,68,1958400,新跨越I33,巴南,底商
4100,66,270600,协润凤凰世纪城,永川,住宅
8800,34,299200,融汇温泉城泉里soho,沙坪坝,商业类
4100,79,323900,乐信凤凰郡,永川,住宅
13000,42,546000,通用晶城,九龙坡,商业类
6200,73,452600,澳海御江苑,涪陵,住宅
22000,114,2508000,铂悦澜庭,南岸,住宅
