house_price,house_price
15500,100
24000,100
35000,100
18000,114
7500,63
12500,117
20000,33
13000,42
12000,295
13800,49
15000,50
11500,43
9888,40
20000,364
14500,100
14000,100
30000,100
12000,100
8500,184
15000,284
30000,100
25000,100
40000,100
15000,215
42000,100
18000,100
20000,100
30000,100
70000,100
15000,100
26000,100
30000,100
26000,100
30000,100
9500,100
7000,53
14800,100
21000,100
10080,100
17000,100
6500,100
15000,100
8888,100
11500,90
15200,47
6000,67
9550,100
26000,100
36000,100
25000,100
23000,100
10300,76
14000,100
20000,100
30000,100
25000,100
16000,100
11000,100
9000,100
14000,100
30000,100
24000,100
20000,100
20000,100
12000,100
16800,100
8900,40
20000,100
15500,100
15000,100
35000,100
22000,100
13000,100
14000,100
15000,100
25500,100
14000,100
7800,100
17000,100
18500,100
12000,100
20000,100
12000,100
13000,100
8500,100
50000,100
12000,100
60000,100
12800,100
22000,100
60000,100
12000,100
14888,100
15000,100
10000,100
17500,62
12000,100
22000,100
15000,100
15000,100
11000,100
14000,100
6540,100
9000,100
7200,44
13000,100
7700,100
6900,115
8300,100
11600,132
9500,83
8000,87
13000,100
8500,100
17000,100
9200,100
7000,84
7400,156
6800,49
9000,100
9500,100
7000,131
8200,99
15000,58
8100,130
7600,136
20000,143
4000,100
5000,100
12500,140
8650,79
8400,100
8500,100
8800,100
7700,123
9500,74
6200,90
9500,100
10000,100
15000,100
12200,144
9500,100
7700,100
9000,100
11500,100
8750,100
12000,100
8200,100
18000,143
13000,100
8300,100
6500,131
7000,100
9000,100
8000,100
9150,100
7500,100
7600,111
14500,100
12000,100
9800,100
8000,104
10000,100
8000,77
8800,100
5700,101
16000,130
5700,76
7500,138
4000,100
4600,100
10000,127
24000,122
13000,100
6750,100
5200,118
6200,100
6200,47
7600,100
11000,100
10500,100
7350,100
13000,100
7400,100
10000,104
8500,100
11000,117
5500,100
11000,100
7600,109
8200,100
8000,90
9000,129
8200,110
15000,140
23800,100
7800,100
8000,119
7700,100
6100,100
6800,100
4500,100
6700,100
4450,100
10000,163
4800,81
7600,100
5000,100
8900,291
8800,105
9000,100
8500,100
11000,100
4800,100
8500,59
5000,100
7000,45
15000,103
8500,100
9900,100
6500,57
8800,100
9000,117
13000,71
9500,120
5000,79
4700,100
4600,100
13000,89
15000,59
5900,103
5000,100
5800,100
9300,100
13800,100
4000,125
4000,120
12000,115
6000,88
6000,94
8000,83
5500,40
8250,129
7500,121
4200,100
9600,107
7400,103
6800,100
7000,131
5600,130
8300,100
5400,103
13000,115
9000,100
6800,100
11000,100
5500,106
9500,92
7100,115
12000,78
7350,135
6800,87
7400,118
6000,78
17000,122
5800,100
10000,100
8200,100
6100,110
4700,100
6400,100
8800,100
5200,100
4800,100
5400,100
8999,90
8500,100
3500,100
8300,100
6500,100
4600,100
18000,100
4000,100
6800,110
7200,100
5300,100
5200,100
5900,121
6380,100
8600,100
9500,100
4900,100
5400,100
5800,100
4700,100
14000,100
9000,100
8300,100
4500,100
7000,100
6000,100
6400,100
6900,100
8000,100
5800,100
4200,100
3900,100
4900,100
6200,63
5500,100
6999,52
6100,100
8500,100
7000,100
6800,113
7500,100
4500,100
5700,121
6700,59
8500,92
3280,100
6500,100
6300,100
7500,100
4500,100
4350,100
8000,138
5500,142
8300,90
4500,100
8500,100
10000,176
7000,100
11500,126
15000,144
8200,100
7300,94
20000,100
8500,45
9000,93
8600,305
7000,123
6800,53
5200,49
7500,77
5900,33
30000,100
67000,100
20000,100
7800,100
7600,85
10000,100
20000,99
7800,100
