house_price,house_price
12000,100
20000,100
8800,100
13500,100
42000,185
27000,370
19000,90
29000,219
30000,240
24000,100
12000,100
16500,286
13000,100
17500,100
16000,100
19500,100
5800,58
13000,290
12000,100
9500,48
10400,100
12600,100
17000,100
15000,753
23000,71
21000,100
40000,100
20000,85
22000,100
18500,100
13000,100
50000,100
7900,100
10000,59
30000,100
20000,100
13000,100
24000,100
30000,100
30000,100
40000,100
14000,100
48000,100
23000,100
32000,100
40000,100
38000,100
35000,100
37000,100
30000,100
30000,100
43000,100
28000,100
17000,100
60000,100
70000,100
40000,100
30000,100
30000,100
25000,100
30000,100
22000,100
27500,100
40000,100
25000,100
35500,100
18000,100
60000,100
13000,100
45000,100
36000,100
30000,100
20000,100
27000,100
28000,100
40000,100
40000,100
34000,100
30000,100
50000,100
30000,100
32000,100
22000,100
30000,100
55000,100
30000,100
14000,86
7800,340
6700,52
27000,100
20000,100
30000,100
15000,100
45000,100
30000,100
30000,100
46000,100
36000,100
6800,92
35000,100
25000,100
18000,100
25000,100
40000,100
12000,100
40000,100
40500,100
35000,100
35000,100
43500,100
12000,49
18000,100
25000,100
25000,100
42000,100
26000,100
17000,100
23000,100
37000,100
37000,100
40000,100
35000,100
16000,100
40000,100
22000,100
52000,100
21600,100
9400,100
75000,100
50000,100
41000,86
80000,100
23000,100
40000,100
21000,100
50000,100
30000,100
58000,100
50000,100
40000,100
40000,100
15000,100
40000,100
50000,100
80000,100
25000,100
40000,100
15000,100
37000,100
28000,100
40000,100
55000,100
40000,100
28000,100
30000,100
35000,100
35000,100
35000,100
30000,100
9300,100
28000,100
20000,100
40000,100
10000,100
30000,100
25000,100
55000,100
24000,100
35000,100
30000,100
45000,100
25000,100
30000,100
35000,100
35000,100
30000,100
30000,100
30000,100
20000,100
30000,100
38000,100
30000,100
30000,100
27000,100
80000,100
35000,100
25000,100
33000,100
18000,100
35000,100
30000,100
25000,100
35000,100
35000,100
27000,100
40000,100
20000,100
31000,100
40000,100
50000,100
40000,100
19000,100
35000,100
40000,100
55000,100
38000,100
20000,100
45000,100
50000,100
40000,100
45000,100
40000,100
45000,100
14000,100
16000,100
40000,100
9000,100
28000,100
30000,100
21000,100
40000,100
25000,100
30000,100
40000,100
40000,100
30000,100
20000,100
25000,100
40000,100
25000,100
20000,100
30000,100
12000,100
22000,100
50000,100
38000,100
60000,100
60000,100
30000,100
30000,100
30000,100
16000,100
8600,100
30000,100
18000,100
28000,100
15000,247
8800,48
70000,100
5400,94
28000,100
30000,100
15000,100
40000,100
9600,100
24000,100
24000,100
24000,100
24000,100
15000,100
30000,100
5800,100
8000,100
6580,100
25000,67
9000,100
45000,100
35000,100
16000,100
40000,100
16000,100
14500,100
13000,100
45000,100
10000,100
6000,100
32000,100
20000,100
6900,118
16000,100
4800,89
32000,100
32000,100
32000,100
28000,100
3500,96
16000,100
30000,100
30000,100
50000,100
19500,100
14000,100
7900,100
50000,100
14000,100
18000,100
35000,100
35000,100
20000,100
25000,100
14000,100
11000,100
12000,100
55000,100
25000,160
20000,100
15000,100
25000,100
17000,100
15000,100
5000,80
4500,100
20000,100
5100,100
12000,100
31000,100
23000,100
13500,100
12500,100
6100,100
8800,115
28000,100
26000,100
4600,91
15500,77
7900,100
19000,84
7100,260
13000,100
9700,169
7000,85
23000,42
28000,100
13000,100
12500,84
11000,100
4600,88
12000,100
14000,100
9500,100
6000,100
17000,76
8500,100
9000,80
7000,86
8500,103
20000,90
6000,45
8500,100
17800,77
7200,100
8000,100
10000,100
23000,100
7500,99
11000,100
24000,106
20000,100
16000,100
20000,100
11000,100
16000,111
11500,99
11100,47
10000,114
6000,91
6000,100
5600,91
13000,140
17000,100
14000,100
6800,100
12000,67
5000,67
10500,95
10000,95
7000,100
9000,64
5000,92
11000,49
8718,100
7500,100
20000,100
8700,43
9100,100
5300,100
6000,88
6500,100
8000,100
8600,71
12500,100
9900,123
7500,68
4600,100
6200,100
6000,92
21000,100
8000,100
5900,100
6612,100
4400,100
7000,100
4500,100
12000,100
4500,100
6100,83
4300,35
13000,100
6700,110
9500,100
4600,100
4200,89
5300,100
5000,85
5000,122
7800,100
20000,100
5700,100
13000,82
6300,100
9000,100
8100,100
4000,100
18000,100
5100,100
12000,100
7600,100
10500,89
8000,100
5500,100
18500,100
9500,65
4800,81
5000,77
5000,100
8500,100
4500,78
14000,100
10500,100
8800,100
15500,101
60000,100
12000,90
45000,100
20000,100
16000,100
15000,100
5400,100
3700,100
4700,93
6900,100
15000,100
7700,100
3900,100
4500,100
6000,100
6500,121
6300,100
4000,100
6500,100
4300,100
5100,100
5000,100
4000,100
5500,100
5000,100
4800,81
4300,100
6300,115
5000,100
4400,100
15000,90
10000,100
6000,100
7500,100
13600,100
14000,120
16000,100
5500,100
14000,100
13700,100
12000,100
4900,100
12000,100
6800,100
17000,100
4750,100
10000,73
10300,100
6500,100
14000,100
5000,76
4400,100
4700,100
9100,100
4600,100
16000,100
4500,100
4300,100
15300,100
6530,100
13000,100
12000,100
4200,100
61900,100
12000,79
17000,108
4000,80
7600,100
40000,100
22600,100
10192,100
13000,100
7000,137
60000,100
11000,133
50000,100
8500,106
9800,78
14500,100
16500,117
8900,124
13376,69
4700,90
13000,100
8000,100
7300,100
7500,100
9000,100
9900,100
13800,148
7650,100
5500,80
13000,100
8103,576
8363,100
11000,100
5000,100
4800,100
6000,100
14000,100
15000,100
20000,100
11000,90
4000,100
6200,100
8500,100
5100,87
17000,100
8300,127
4700,100
8500,111
6800,36
20000,88
17800,87
14000,100
12500,100
