house_price,house_price
12500,88
12000,67
15000,111
10800,68
10500,85
40000,320
13000,27
9500,117
9000,65
13000,135
28000,86
8700,23
35000,211
13000,31
13000,29
15000,109
12000,66
27000,130
12000,88
16500,55
17000,121
11800,55
12000,32
9500,104
11500,61
10500,938
12500,91
12000,64
11000,81
8500,83
11500,192
20000,104
16000,124
19500,77
6800,88
10700,99
6500,76
40000,63
5100,61
22000,91
9800,99
12000,106
14000,70
9500,25
13000,40
22000,208
14500,279
12000,98
50000,382
10000,45
9300,67
6800,39
50000,228
9000,42
18000,100
9500,53
4700,88
4680,66
7500,89
3000,535
14000,38
40000,409
21000,259
4800,48
15500,19
13000,212
12000,76
21000,119
10500,95
12600,108
6500,38
13800,63
4900,73
7700,70
10500,79
20000,111
21000,53
10200,130
13000,30
8000,58
9700,110
5800,67
20000,100
13000,100
25000,100
17000,100
8600,31
25000,48
20000,100
8500,27
12000,33
11000,100
30000,100
16000,100
49000,100
25000,100
11000,100
14000,91
10000,47
17000,100
11000,100
9100,29
14500,68
10000,26
11000,25
12500,31
8800,25
13000,100
50000,100
22000,100
12000,100
25000,100
20000,100
20000,100
20000,100
4000,68
4900,67
23000,100
18000,112
24500,100
26000,100
20000,100
10000,100
4800,30
40000,100
25000,100
12500,100
10000,100
23000,100
26000,100
28800,100
13500,100
23000,100
20000,100
20000,100
40000,100
22000,100
17000,100
25000,100
40000,100
14500,100
12000,100
19000,100
38000,100
43000,52
25000,100
25000,100
10000,100
30000,100
23000,54
16000,100
30000,100
40000,100
40000,21
8500,100
20000,100
55000,100
27000,100
70000,100
30000,100
35000,100
21000,38
30000,100
25000,100
20000,100
7300,29
25000,100
20000,100
6500,90
10500,100
12000,40
18000,100
10000,100
16000,100
30000,100
19000,95
27000,100
13000,100
6888,100
20000,100
15000,1538
15000,100
22000,100
12200,61
15500,100
25000,100
25000,100
18000,100
40000,100
10000,56
10800,40
17000,100
35000,100
22000,100
16500,100
75000,100
15000,100
5400,30
20000,100
20000,100
35000,100
30000,100
20000,100
23000,100
30000,100
14000,39
10000,68
16000,25
16000,94
28800,68
4100,66
8800,34
25500,100
4100,79
13000,42
6200,73
22000,114
26000,28
4500,71
22500,100
17000,61
7600,55
10000,84
45000,100
30000,100
12000,100
20000,100
30000,100
38000,100
40000,100
35000,100
11500,80
28000,100
4400,95
4000,82
8800,90
25000,100
20000,100
18000,63
27000,100
4200,76
8600,22
10600,114
13000,104
30000,100
35000,100
12000,100
8200,56
14500,100
17000,110
10000,52
13500,67
15000,63
8200,62
11000,100
6000,51
9900,34
21000,159
11500,66
14000,185
8200,35
9500,100
7800,60
12000,115
16300,90
9700,100
20000,62
14500,116
6200,100
7100,47
12000,49
8000,69
8500,73
11500,48
15000,122
11000,82
10000,100
13300,100
7500,19
9000,117
28000,100
30000,100
11000,100
18000,108
10500,52
12000,100
13500,100
10000,92
36000,100
8500,42
9300,91
20000,100
6000,69
12500,78
13000,128
12000,111
9400,81
11000,58
12000,100
25000,100
