house_price,house_price
10500,97
16000,125
12500,81
11000,67
5000,35
11000,77
19000,147
8350,23
10500,69
14000,119
12000,83
10000,175
9500,56
13000,52
7500,82
9800,77
6600,58
6800,100
4600,85
15000,91
7600,77
26000,37
10000,101
13000,77
12500,126
13000,33
13000,72
10500,96
7000,74
11000,68
10500,100
8000,41
18000,137
10000,71
9500,61
8000,73
12000,47
21000,100
7500,61
14000,40
9000,85
8500,44
11000,35
9118,57
6300,90
13000,41
9800,76
9000,85
14000,81
12250,65
13000,133
19000,52
17000,88
10500,40
10500,76
13000,328
15000,167
12000,106
14000,99
13000,73
5300,204
15000,74
11000,31
9600,78
12500,38
7500,103
9500,57
7800,89
13500,124
7800,100
14000,70
14500,128
16000,87
9000,89
10800,125
11500,50
14000,113
7400,88
13000,127
6500,45
19000,50
13000,72
20000,670
12000,82
13000,92
10500,85
10000,44
11000,89
17500,244
9500,74
9300,31
11500,106
10000,70
12500,70
8500,75
7200,86
12500,85
17500,41
12000,82
11500,65
18000,376
7800,75
16800,77
10580,40
7500,31
7400,56
20000,100
25000,215
8528,94
8927,78
4151,60
9000,89
7000,87
16000,137
13000,89
30000,38
14000,115
