house_price,house_price
40000,85
26500,96
12000,101
24000,90
18000,100
28500,127
28500,75
26300,106
31946,230
32000,319
10000,282
18000,190
27600,285
24300,101
12800,88
14900,146
41800,166
11500,88
25800,78
23000,370
9000,131
27000,116
24600,222
13800,81
26000,89
12800,317
8300,103
20000,43
37000,100
26000,126
24000,135
50000,100
23000,100
30000,100
22500,100
20000,100
18500,100
9500,89
21000,100
45000,100
12730,100
14500,100
14000,100
43000,202
35000,100
25000,100
17000,100
30000,100
26000,131
17000,100
20600,89
17500,100
20988,90
25000,100
19000,100
38000,423
15000,100
25600,103
6350,118
19000,100
23500,100
11500,142
30000,100
40000,100
29000,100
6900,109
44000,100
7500,115
15000,135
15000,126
23700,83
25800,90
10000,100
8500,96
28000,175
25000,100
50000,100
36000,100
12000,196
23000,100
18500,100
11200,136
9700,100
19000,100
8800,100
35900,143
6800,100
11900,100
13500,113
34000,100
20000,100
30000,100
75000,100
6300,100
12000,100
15000,100
9500,85
16000,1979
2500,100
2480,568
