house_price,house_price
9000,92
14300,105
11500,108
26000,93
10000,77
18000,50
27000,53
40000,201
18000,310
32000,74
36000,42
15000,38
20000,118
25000,41
56000,180
23000,95
40000,145
43000,128
32000,86
41000,107
32000,87
17500,102
14000,100
38000,193
15500,162
22000,82
12000,110
34000,95
28000,80
7600,53
13000,49
15000,259
14000,60
10000,174
50000,102
38500,92
10000,113
20000,83
26500,87
10000,91
21000,87
40000,97
13500,96
13000,125
11000,130
9500,78
33000,93
9500,91
21000,86
16500,84
13000,92
24000,90
18500,181
42000,101
23000,83
15000,210
41000,50
18000,220
35000,92
38000,150
20000,97
30000,100
23500,101
22000,84
25000,50
14500,86
88000,149
15000,110
30000,100
30000,100
14000,57
21000,125
10000,97
26000,397
13500,101
20000,100
13000,46
15000,100
16000,100
31000,100
10700,87
20000,100
40000,100
22000,99
18000,120
37000,72
7800,85
13000,100
16800,100
10500,69
26000,52
12500,88
23000,100
40000,61
12000,100
14500,230
23000,158
19000,100
8000,50
15000,90
50000,100
6500,100
21000,109
45000,373
8200,100
18000,88
50000,296
38000,100
15000,88
8800,100
11000,100
8000,100
21000,265
15000,367
22000,100
16000,100
13500,70
10000,55
36000,100
33000,100
17000,100
16000,80
15000,87
11000,100
28000,100
19000,100
16000,65
9600,100
42000,100
9500,100
22000,100
7500,100
17500,100
18000,100
9100,100
20000,100
15000,100
35000,95
11000,85
14000,100
11000,100
11000,100
17500,100
13000,100
27000,84
8600,100
11000,100
12000,100
11870,100
17000,100
26000,100
14000,100
32000,89
14000,100
13000,86
29000,92
12537,100
11000,100
45000,100
6500,100
7200,100
7400,100
8400,100
6200,66
12800,59
13000,85
11000,100
8800,100
4280,100
6950,100
7300,100
7100,100
8600,100
16000,100
15000,100
15000,100
7700,100
7000,100
12000,100
6000,100
13000,100
7200,68
12500,100
7500,100
50000,100
6500,100
26000,100
8500,100
60000,100
6800,92
34000,100
8500,100
8200,100
9300,100
8200,100
13000,100
5000,100
6500,100
7500,100
9500,100
9000,100
9200,100
6600,100
8100,100
7200,100
9300,100
8700,100
6900,100
7700,132
3500,100
9009,100
8500,100
8300,100
7000,100
17000,59
8000,100
7800,100
8800,100
10500,100
20000,100
10000,100
16000,100
12000,102
11500,100
31000,83
10000,100
15000,100
7800,44
16000,128
14000,100
20000,64
15000,100
12800,100
7500,86
16000,100
18000,100
9500,100
12000,100
16000,100
13000,100
13000,86
25000,100
35000,100
16000,100
11000,100
18000,100
13000,118
16000,100
35000,87
9500,60
