house_price,house_price
17000,29
17000,44
30000,235
25000,45
16000,34
8300,118
19300,156
14000,60
13000,44
9800,96
14000,51
9100,135
15000,85
23000,168
18000,52
15000,65
5700,58
10800,134
5500,40
19000,49
23500,100
15000,63
28000,100
20000,155
33750,74
11000,32
15200,143
6800,40
12500,52
7500,36
13000,44
35000,213
15500,49
17000,47
16500,47
13500,35
38000,256
20000,200
16500,61
5000,111
38000,192
20000,90
23000,201
10300,107
21500,103
17000,40
25000,37
6500,55
17500,42
35000,599
28000,100
40000,100
30000,203
9500,105
42500,100
16500,132
13000,38
11500,143
32000,105
27700,93
15500,100
15000,89
37000,100
14000,33
15500,37
22000,46
43000,44
10000,100
18000,100
18000,100
20000,100
27000,162
26500,251
22000,112
23000,100
43000,100
12000,100
25000,100
23000,100
15000,100
20000,50
8500,100
19000,100
24000,100
14500,68
35000,100
11000,45
27500,100
22000,100
30000,100
25000,100
13500,96
30000,57
39000,100
8400,94
7500,100
25000,100
40000,100
40000,100
25000,100
25000,118
17000,100
19000,100
30000,58
23000,100
19000,100
15000,100
7300,42
30000,100
5300,100
40000,100
17000,100
25000,100
35000,100
40000,100
20000,100
25000,100
45000,100
28000,100
26000,100
40000,100
27000,79
15000,100
15500,100
30000,100
15500,23
35000,100
24000,100
23000,95
10800,140
80000,100
7500,100
9000,100
13500,107
22000,75
30000,100
28000,100
30000,100
30000,79
35000,100
40000,97
9500,100
23000,100
28000,100
13000,100
20000,100
26000,100
21000,100
24800,100
8000,100
6300,100
13000,100
15400,100
4000,100
13000,100
5800,100
30000,100
12500,100
18500,100
18000,100
35000,100
33000,72
17000,121
15500,119
9500,46
9600,139
31500,100
22000,100
12000,51
26500,100
28000,100
36000,53
15000,100
14000,193
6000,45
37500,30
15500,42
30000,100
30000,13
17000,100
13000,100
23200,39
20000,67
31000,177
9200,93
36000,100
33000,54
38000,72
18000,100
38000,100
20000,31
15200,122
15500,100
4000,1119
9000,76
12000,42
11000,100
23500,76
