house_price,house_price
18000,278
11000,88
13000,136
12000,30
9500,33
18000,95
11000,58
13000,83
9500,82
13000,107
13000,100
11000,97
23000,510
13000,138
18600,90
14000,99
11000,85
17000,32
15000,220
13000,96
14000,190
3750,51
7900,56
16500,160
14500,101
18000,153
16500,100
16500,178
8600,53
9600,107
14500,33
5800,78
13500,163
12000,90
15500,230
12000,120
12500,96
13000,89
20000,140
13000,120
10000,85
10000,118
11900,100
11000,105
10600,43
9300,96
12800,89
12000,94
16000,443
15000,40
11500,138
8200,80
9800,98
8300,100
8300,88
12000,164
9600,77
8100,140
10700,104
4800,91
13000,45
12600,85
9000,108
8900,56
9550,83
10500,56
12000,96
11000,74
20000,222
10000,45
9500,60
8900,136
8500,100
9000,54
9500,42
12500,82
12300,143
16000,78
9100,96
9000,100
9300,41
8000,68
13000,140
3450,64
8500,88
10000,208
7300,65
7800,178
8900,137
8300,54
9600,88
8500,110
8500,292
13000,150
9000,38
9500,89
7800,100
5000,67
18000,340
8000,40
6000,65
6700,84
10000,52
16000,32
19000,122
10500,90
12500,52
20000,233
3200,719
15000,60
9500,100
25000,160
13000,113
22000,2000
25000,1500
12000,50
9500,41
10000,170
16000,130
8500,88
11500,138
14000,70
45000,400
9000,80
14500,224
8000,40
10000,98
13000,238
13500,114
9000,131
11000,120
16000,156
17000,255
13000,139
3600,83
15000,300
9500,125
18000,185
9000,130
15000,123
14500,338
9000,53
13500,100
11500,207
9200,85
15000,100
16700,200
16500,2000
17000,298
18000,160
10000,34
8900,35
12000,100
8850,79
9500,80
18000,407
14000,84
33000,85
23000,170
9900,69
13000,50
15500,123
12000,95
18000,141
11500,91
9500,79
38000,5600
16000,29
16500,48
30000,40
20000,126
18000,40
13000,2546
30000,88
18000,1456
31000,170
35000,10
33000,250
17000,351
17500,37
36000,158
30000,58
26000,80
18000,178
30000,80
12000,104
15000,350
22000,60
9000,100
8000,54
20000,2075
24000,93
10000,117
27000,1114
25000,72
15000,238
12000,127
12000,134
10000,104
29000,13
15000,5292
17000,99
14100,110
9500,123
25000,57
7500,3000
18000,42
8500,49
21000,175
11000,88
15000,150
20000,30
19000,56
14000,1500
9800,92
15000,267
13000,37
35000,45
7500,35
17500,109
43000,1490
17500,143
9300,60
8800,46
12700,40
8500,35
50000,100
9000,100
17000,240
9000,129
24000,118
10500,97
12500,102
9000,132
13000,39
30000,146
13100,130
27000,67
8500,82
18000,109
17000,30
9700,51
27000,238
14000,140
9800,95
30000,50
11000,94
30000,268
11000,142
10000,94
8500,110
20000,26
9500,112
8800,47
16000,40
8900,86
16000,136
11500,33
50000,74
30000,68
9900,101
11000,134
11500,105
14024,100
8500,100
8300,100
11000,100
9000,100
12790,100
20000,100
9000,100
40000,100
5100,100
9500,100
8400,100
6000,100
12000,92
15000,100
10700,100
13000,100
8100,100
16000,100
14000,100
16274,100
3890,100
3981,100
12000,100
3800,100
8917,100
13000,100
9184,100
7500,100
50000,309
21000,100
9500,100
15887,100
12973,100
8000,100
16000,100
9242,100
15000,100
8500,150
6000,100
9000,100
8500,100
8200,100
6200,100
9900,100
9704,100
7500,100
11733,100
4300,100
17000,97
9530,100
7800,100
8700,100
20000,100
8000,100
6600,100
15000,100
9400,100
10526,100
16000,145
11000,100
6100,100
11000,100
10169,100
8900,100
11000,100
11000,100
7900,100
6550,100
11000,100
7500,100
9300,100
9600,100
7200,100
8500,100
6721,100
9200,100
8500,100
14000,100
11309,100
7845,100
12222,100
8000,100
7900,100
9700,100
10500,100
6800,100
20000,100
13000,100
9500,100
8500,122
16000,100
7542,100
7800,100
6400,100
9000,100
8228,100
9582,100
8500,100
5100,100
4640,100
8500,100
8480,100
9268,100
10200,100
8600,100
11000,100
6400,100
6800,100
11000,251
31000,100
7426,100
8045,100
5800,100
4750,100
7500,100
8200,100
13500,100
6500,100
9300,100
10753,100
13000,100
12135,100
7200,100
8000,100
6588,100
8000,100
9000,100
11000,100
11000,100
5823,100
6321,100
9927,100
9252,100
8000,100
16000,100
11700,100
8915,100
9800,100
5988,100
8300,100
7000,100
13000,100
10053,100
6600,100
8600,100
9800,100
6200,100
5770,100
7500,100
7000,100
11100,100
7430,100
8037,100
12000,100
7446,100
4800,100
10299,100
14000,100
23000,100
8600,100
7500,100
9500,100
10000,93
12000,100
11000,100
11500,100
7819,100
5000,100
19600,100
7600,100
10000,100
8600,100
7826,100
11800,100
12300,100
33333,100
13000,100
11538,100
9514,100
9317,100
30000,100
8600,61
12436,100
20054,100
11000,100
9700,100
9100,100
6200,100
9500,100
7146,100
8541,100
6907,100
7010,100
7018,100
5383,100
14770,100
7016,100
9000,100
7654,100
10618,100
7000,100
12000,100
5600,100
9000,100
6800,100
6500,100
8139,100
8268,124
12000,100
10000,100
8793,100
9537,100
7200,100
8500,100
8591,100
9522,100
8860,100
7000,100
9500,100
6432,100
7500,100
7786,100
6100,100
8400,100
7000,100
5073,100
8600,100
8640,100
4550,100
8223,100
14000,100
14000,100
19209,100
5300,100
3600,100
8600,100
5400,51
10588,100
8600,100
5300,100
4300,100
13000,100
8700,100
25000,100
9548,100
11500,100
4900,100
6500,100
6500,100
7508,100
8700,100
6800,100
8800,131
5800,100
13500,100
15000,100
6311,100
15000,100
6948,100
4600,100
7200,100
3800,100
12500,100
7500,100
16800,100
10369,100
16000,100
7500,100
9300,100
8500,100
5000,100
5756,100
10000,100
6000,100
6840,100
10000,100
9000,100
10518,100
13294,100
6351,100
8000,100
7000,100
21000,100
15000,100
8000,100
7000,100
7647,100
9800,100
7800,100
15041,100
13500,100
11000,100
9000,85
8500,100
16000,100
26000,100
12000,100
9500,99
8500,42
17000,100
8600,100
10000,100
30000,100
15000,100
12800,100
9800,100
8319,100
7300,100
16000,100
12480,100
17000,100
7600,100
11000,100
12000,100
9800,100
9000,100
21600,100
10174,100
16363,100
8200,100
7100,100
5900,100
7233,100
5790,100
18660,100
6581,100
10884,100
8139,100
8389,100
11859,100
9500,100
15000,100
7959,100
6804,100
11000,100
10139,100
15077,100
8207,100
11500,100
5600,100
7647,100
7357,100
6623,100
9081,100
7200,100
6787,100
40000,100
10900,100
10250,100
16000,100
7814,100
5777,100
21139,100
6500,100
5868,100
13000,100
7000,100
9500,100
8100,100
7700,100
6400,100
12228,100
15000,100
11946,100
11461,100
7700,100
9000,100
7600,100
8500,100
8000,100
8003,100
6573,100
15000,100
6944,100
7254,100
8000,100
10553,100
11649,100
13400,100
12986,100
9197,100
6990,100
7500,100
8097,100
7568,100
14252,100
11200,100
6197,100
10000,100
8200,100
8766,100
9070,100
7500,100
8015,100
9022,100
10000,100
8978,100
4238,100
7827,100
10339,100
20000,100
8346,100
8100,100
10000,100
8200,100
9084,100
8206,100
6949,100
10886,100
6500,100
8061,100
6013,100
7433,100
7510,100
15000,100
7752,100
10140,100
16789,100
9300,100
7065,100
7700,100
8686,100
9300,100
3600,100
7028,100
9042,100
8136,100
7121,100
11692,100
11000,100
7500,100
8400,100
15000,100
7959,100
8300,100
5898,100
13268,100
13171,100
6861,100
30000,100
10000,100
5700,146
