house_price,house_price
14000,90
15000,114
14000,84
15800,118
18000,40
16000,300
17000,173
15000,89
15000,91
17000,165
13500,56
15500,168
7700,101
12500,87
7700,84
11500,93
8900,71
15000,130
13000,106
16000,171
10000,86
10500,52
13000,83
13000,92
16000,92
13500,81
15500,100
17000,87
15000,44
7800,155
8500,93
18600,91
12000,87
7500,77
18000,90
19000,88
13500,95
13000,90
14000,93
11000,100
12000,111
10000,72
18000,119
14000,85
10500,56
11000,96
8300,98
13500,67
19500,133
15500,46
9700,102
15000,81
14000,30
9300,105
15000,105
15000,133
13000,87
14000,242
12500,113
18500,90
12000,78
17800,98
11000,52
18000,105
14000,53
15000,78
15000,209
8500,81
12500,115
13500,38
12500,71
12500,89
10500,53
11000,33
13000,51
18000,100
8700,118
11000,100
8500,73
14000,100
9500,86
11000,29
16000,45
12500,91
8500,79
9000,76
8000,33
9700,74
15000,100
12000,92
9300,63
13500,79
8000,89
14000,84
17000,100
14000,95
12000,122
13500,85
7800,97
10000,52
10500,94
19000,200
8500,85
13000,126
11500,90
10000,43
10000,72
7600,109
14000,104
14000,98
9000,116
10000,78
9300,102
15000,35
14000,100
14000,47
